Id_cliente;venta_total;costo_unitario;cant_unidades;filial_id;dia_id;id;nota;atencion_amable;nivel_2;rango_edad;codigo_del_vendedor;comuna;region;dia_respuesta
a2760;6465;5903;1;481;2022-06-16 00:00:00.000000;732275;10;10;Locales;De 46 a 60 años;21148;temuco;IX La Araucania;22-06-2022
a2761;21599;12573;1;474;2022-08-25 00:00:00.000000;769351;10;9;Locales;De 46 a 60 años;25695;viña del mar;V Valparaiso;26-08-2022
a2761;26176;15984;1;474;2022-03-15 00:00:00.000000;676274;10;9;Locales;De 46 a 60 años;2663;viña del mar;V Valparaiso;18-03-2022
a2761;93354;65433;1;588;2022-09-12 00:00:00.000000;777809;10;10;Locales;De 46 a 60 años;16307;viña del mar;V Valparaiso;13-09-2022
a2762;18632;11265;1;330;2021-01-11 00:00:00.000000;465699;8;10;Locales;De 46 a 60 años;5430;san carlos;XVI Ñuble;13-01-2021
a2762;14778;11828;1;330;2021-09-06 00:00:00.000000;581182;9;9;Locales;De 46 a 60 años;5430;san carlos;Maule;08-09-2021
a2762;11099;2673;1;330;2021-11-24 00:00:00.000000;621964;10;10;Locales;De 46 a 60 años;24270;san carlos;Maule;29-11-2021
a2763;66356;27417;1;;2022-03-01 00:00:00.000000;668617;10;;Última Milla;De 46 a 60 años;5337;cerrillos;Metropolitana;05-03-2022
a2764;50759;28123;1;289;2022-04-22 00:00:00.000000;696257;8;10;Locales;De 46 a 60 años;1610;concepcion;VIII Biobio;23-04-2022
a2764;6775;2493;1;484;2021-07-28 00:00:00.000000;561534;8;8;Locales;De 46 a 60 años;16013;concepcion;VIII Biobio;01-08-2021
a2764;67868;37357;1;489;2021-12-06 00:00:00.000000;629031;8;9;Locales;De 46 a 60 años;21124;concepcion;VIII Biobio;13-12-2021
a2764;19486;9304;1;489;2021-05-27 00:00:00.000000;521727;8;8;Locales;De 46 a 60 años;14069;concepcion;VIII Biobio;28-05-2021
a2765;21698;16870;1;594;2023-03-11 00:00:00.000000;874004;10;10;Locales;De 46 a 60 años;14983;coquimbo;IV Coquimbo;17-03-2023
a2766;19872;14329;1;370;2022-08-23 00:00:00.000000;768683;10;10;Locales;De 46 a 60 años;5534;chillan;Maule;24-08-2022
a2766;44021;24287;1;418;2022-12-26 00:00:00.000000;834246;10;10;Locales;De 46 a 60 años;1199;chillan;Maule;29-12-2022
a2767;27926;14676;1;479;2021-08-18 00:00:00.000000;573871;10;10;Locales;De 46 a 60 años;2749;colina;Metropolitana;23-08-2021
a2768;4179;1349;1;213;2023-02-06 00:00:00.000000;854452;10;10;Locales;De 46 a 60 años;4246;rancagua;VI O'Higgins;07-02-2023
a2769;19945;12537;1;430;2021-10-21 00:00:00.000000;603938;10;10;Locales;De 46 a 60 años;5773;concepcion;VIII Biobio;22-10-2021
a2769;81271;24606;1;;2021-04-05 00:00:00.000000;494544;8;;Compra Online Despac;De 46 a 60 años;1;san bernardo;Metropolitana;11-04-2021
a2770;50177;30303;1;257;2022-09-28 00:00:00.000000;786338;10;10;Locales;De 46 a 60 años;1076;lota;VIII Biobio;03-10-2022
a2771;32399;16817;1;388;2023-01-24 00:00:00.000000;847721;10;10;Locales;De 46 a 60 años;4476;chillan;Maule;25-01-2023
a2772;1099;369;1;31;2021-07-27 00:00:00.000000;561371;10;10;Locales;De 46 a 60 años;20889;coquimbo;IV Coquimbo;01-08-2021
a2772;12319;8448;1;31;2021-06-16 00:00:00.000000;538226;10;10;Locales;De 46 a 60 años;9119;coquimbo;IV Coquimbo;21-06-2021
a2773;3047;14149;1;402;2021-02-24 00:00:00.000000;479330;9;9;Locales;De 46 a 60 años;8858;coquimbo;IV Coquimbo;25-02-2021
a2773;5189;28558;1;594;2021-04-29 00:00:00.000000;506425;8;10;Locales;De 46 a 60 años;6073;coquimbo;IV Coquimbo;30-04-2021
a2774;3408;1043;1;263;2022-12-13 00:00:00.000000;826965;9;9;Locales;De 46 a 60 años;12082;providencia;Metropolitana;14-12-2022
a2775;74601;47724;1;461;2022-05-07 00:00:00.000000;704538;9;9;Locales;De 46 a 60 años;9408;buin;Metropolitana;08-05-2022
a2775;94450;37191;1;461;2022-05-22 00:00:00.000000;715008;10;10;Locales;De 46 a 60 años;9408;buin;Metropolitana;28-05-2022
a2775;36798;19596;1;461;2022-06-04 00:00:00.000000;725502;9;10;Locales;De 46 a 60 años;9408;buin;Metropolitana;10-06-2022
a2776;171793;135834;1;487;2021-02-24 00:00:00.000000;479379;10;10;Locales;De 46 a 60 años;23528;puente alto;Metropolitana;25-02-2021
a2777;52393;13374;1;118;2022-02-22 00:00:00.000000;663878;10;10;Locales;De 46 a 60 años;19321;puente alto;Metropolitana;24-02-2022
a2777;5308;27547;1;118;2022-07-03 00:00:00.000000;742090;8;10;Locales;De 46 a 60 años;4313;puente alto;Metropolitana;08-07-2022
a2778;35548;23246;1;617;2021-08-02 00:00:00.000000;563708;3;5;Locales;De 46 a 60 años;17224;macul;Metropolitana;04-08-2021
a2779;12415;6147;1;373;2021-09-08 00:00:00.000000;584645;10;10;Locales;De 46 a 60 años;4778;curico;VII Maule;13-09-2021
a2779;13199;7958;1;373;2021-11-11 00:00:00.000000;617061;10;10;Locales;De 46 a 60 años;18981;curico;VII Maule;17-11-2021
a2779;16367;7266;1;373;2021-01-06 00:00:00.000000;464084;10;10;Locales;De 46 a 60 años;9071;curico;VII Maule;09-01-2021
a2779;19588;5269;1;373;2021-02-19 00:00:00.000000;479204;10;10;Locales;De 46 a 60 años;9071;curico;VII Maule;24-02-2021
a2780;51598;31494;1;;2021-07-22 00:00:00.000000;556753;10;;Dermocoaching;De 46 a 60 años;6913;santiago;Metropolitana;23-07-2021
a2780;33735;25694;1;;2021-01-13 00:00:00.000000;467654;10;;Retiro en Tienda;De 46 a 60 años;23166;santiago;Metropolitana;19-01-2021
a2781;14499;6168;1;406;2021-10-27 00:00:00.000000;606546;10;10;Locales;De 46 a 60 años;9871;angol;IX La Araucania;28-10-2021
a2781;1124;394;1;638;2022-07-06 00:00:00.000000;741249;10;10;Locales;De 46 a 60 años;22655;concepcion;VIII Biobio;07-07-2022
a2782;42198;26066;1;66;2021-09-23 00:00:00.000000;589713;10;10;Locales;De 46 a 60 años;2426;san javier;VII Maule;24-09-2021
a2783;1869;1479;1;128;2021-01-22 00:00:00.000000;469166;9;10;Locales;De 46 a 60 años;22614;Ñuñoa;Metropolitana;24-01-2021
a2783;16239;12074;1;128;2021-03-25 00:00:00.000000;488406;10;10;Locales;De 46 a 60 años;16543;Ñuñoa;Metropolitana;26-03-2021
